Industry,co2_c,ch4_c,n2o_c,sox_c,nox_c,pm10_c,pm2.5_c,co2_nc,ch4_nc,n2o_nc,sox_nc,nox_nc,pm10_nc,pm2.5_nc,sf6,hfc,pfc
Manufacture of rubber and plastic products,9.00E+05,41.243,37.365,2628,2743.6,393.77,307.5,54598,1777.6,60.331,104.33,70.348,26.226,18.289,0.040433,1528.5,260.6
Manufacture of glass and glass products,2.13E+06,65.986,84.408,6814.5,4500.9,905.88,762.52,46566,2451.4,17.205,62.096,33.461,44.423,34.49,0.075276,1717.8,236.71
Re-processing of secondary glass into new glass,9.92E+06,476.15,2758.4,16494,14982,2489.9,1925.7,24256,1435.8,11.441,39.374,20.303,13.425,9.0022,0.059264,910.4,187.64
Manufacture of ceramic goods,1.12E+06,45.764,64.899,4500.7,2774.5,618.41,521.41,43037,1727.4,17.664,77.854,41.429,32.23,21.49,0.040573,797.3,208.84
"Manufacture of bricks, tiles and construction products, in baked clay",2.95E+06,141.63,156.92,8971.5,5402.8,1508.1,1347.7,37524,2826.5,14.786,37.987,19.486,14.861,8.6065,0.050769,1127.2,200.76
"Manufacture of cement, lime and plaster",1.10E+06,34.434,41.355,5378.2,3073.4,672.19,565.66,1.69E+06,2130.4,13.966,54.335,25.124,626.9,306.76,0.20923,1066,423.62
Re-processing of ash into clinker,1.00E+07,357.33,1010.8,12424,14254,2161.4,1869,1.70E+06,1957.8,14.044,54.718,25.292,628.24,307.51,0.17836,1034.4,426.72
Manufacture of other non-metallic mineral products n.e.c.,1.34E+06,44.236,50.862,4470.1,3213.3,582.51,480.34,92712,1830.2,19.928,57.472,30.061,39.383,23.545,0.081162,1214.4,253.01
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,1.98E+06,52.211,73.709,4623.7,4365.4,521.61,374.1,1.33E+06,7846.1,12.716,680.81,163.71,108.87,78.312,0.14924,1311,1121.3
Re-processing of secondary steel into new steel,5.08E+06,110.01,237.21,27578,10287,3464.8,3028.9,1.49E+06,3938.6,11.661,745.18,178.2,114.26,85.737,0.51943,1939.1,1391.8
Precious metals production,8.99E+05,37.581,51.026,2317.4,2849.6,267.98,180.52,1.05E+05,1990.8,22.356,85.778,35.536,25.196,16.591,0.097518,1031.9,546.26
Re-processing of secondary preciuos metals into new preciuos metals,7.62E+05,38.346,53.391,1882.1,2463.6,248.98,175.59,1.03E+05,1743.1,23.864,89.047,36.93,24.656,16.65,0.059964,1077.4,592.54
