industry,co2,ch4,n2o,sox,nox,pm10,pm2.5
Manufacture of glass and glass products,1189982.2,5408.06159,48.57199,5642.55,2944.924,490.2918,408.4429
Manufacture of ceramic goods,7881296.7,4745.93104,274.01126,37352.1,12940.318,4921.22183,4485.97239
"Manufacture of bricks, tiles and construction products, in baked clay",3334883.3,6308.25859,121.06853,15485.83,6008.239,1857.3673,1668.49042
"Manufacture of cement, lime and plaster",2697301.1,6346.2046,57.2291,5349.23,2846.074,1063.3532,698.8211
Manufacture of other non-metallic mineral products n.e.c.,989461.9,4507.75939,38.3761,3777.68,2227.351,501.543,412.6145
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,5986325.7,18168.66373,62.76999,8021.5,4846.509,874.7925,713.5497
Precious metals production,1157735.8,4721.24529,42.44477,3714.78,2567.928,320.1295,252.5759
Aluminium production,3253897.9,7470.73808,79.40922,11631.14,6871.197,965.8339,636.1705
"Lead, zinc and tin production",2775170.1,9747.3826,78.7841,9247.14,5898.338,951.9519,672.83
Copper production,1094670.6,5131.69216,43.5203,3826.57,2724.94,393.7325,300.363
Other non-ferrous metal production,1328356.9,5062.36249,45.33178,3979.21,2703.955,344.8055,271.4371
Casting of metals,1223524.3,5143.15623,51.28321,4276.26,3342.434,328.0717,236.5001
"Manufacture of fabricated metal products, except machinery and equipment (28)",1213487,3574.34366,30.91775,2992.3,1970.463,250.611,191.0126
Manufacture of machinery and equipment n.e.c. (29),816406.2,2544.60423,28.763,2210.618,1587.503,189.8771,147.0283
Manufacture of office machinery and computers (30),414069.4,1418.56986,25.16004,1446.915,1182.913,152.50276,123.46272
Manufacture of electrical machinery and apparatus n.e.c. (31),775447.2,2384.2016,33.14079,2360.44,1599.563,214.3879,167.5044
"Manufacture of radio, television and communication equipment and apparatus (32)",457854.6,1649.25797,24.62802,1845.116,1290.444,142.16667,108.18086
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",403784.4,1401.36875,23.44887,1485.497,1113.848,143.39591,114.7364
"Manufacture of motor vehicles, trailers and semi-trailers (34)",800627.5,2606.90675,35.91248,2359.34,1672.147,210.3922,164.5638
Manufacture of other transport equipment (35),553859.3,1836.81145,25.64344,1752.131,1260.507,149.5428,115.2663
Manufacture of furniture; manufacturing n.e.c. (36),666214.9,2524.29838,48.45316,2251.03,1630.132,270.4963,226.144
Recycling of metal waste and scrap,0,0,0,0,0,0,0
Recycling of non-metal waste and scrap,0,0,0,0,0,0,0
Production of electricity by coal,53423975.1,219855.8887,883.12255,455850.775,176435.882,11302.4382,5123.9787
Production of electricity by gas,18358525.11,6608.47291,295.26278,1392.998,28999.8001,503.29877,463.16823
Production of electricity by nuclear,150252.18,674.585902,10.398587,342.505,388.3718,39.61091,31.63355
Production of electricity by hydro,65178.02,367.703007,5.521813,181.045,206.3938,19.52326,15.10227
Production of electricity by wind,119975.49,831.851682,6.438605,442.5135,344.3628,29.04259,22.38621
"Production of electricity nec, including biomass and waste",8447702.7,3376.95358,484.79598,42880.83,30428.7833,3370.01277,2682.29841
Transmission of electricity,97496.76,530.74716,8.164029,302.1446,305.3096,28.43339,21.69133
Distribution and trade of electricity,87397.47,455.653189,8.005576,240.0053,277.4125,26.50409,20.50999
Manufacture of gas; distribution of gaseous fuels through mains,738358.5,1433.37575,30.03282,1171.763,1170.5869,104.3274,80.24956
Steam and hot water supply,0,0,0,0,0,0,0
"Collection, purification and distribution of water (41)",427156.45,884.42768,18.02507,1103.585,901.0078,120.88814,91.667
Construction (45),501050.6,1740.50776,40.07449,1472.253,1276.855,171.3307,134.0951
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",327073.3,1299.11747,20.67803,1425.735,1095.4455,96.04039,70.74146
Retail sale of automotive fuel,342788.1,1378.26764,21.92002,1732.563,1217.2674,98.67742,69.38288
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",234329.26,729.61004,21.53629,765.294,951.5001,82.46616,65.55684
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",385086.9,1315.16827,27.31005,1568.167,1472.6439,107.46395,76.57092
Hotels and restaurants (55),490919,5103.59358,102.06506,2544.776,1527.6663,158.84963,105.31445
Transport via railways,1117570.6,1214.2369,165.18652,1032.907,13206.9,444.3065,406.7778
Other land transport,625485,1237.4009,71.32931,1059.139,3091.573,247.1351,211.8997
Transport via pipelines,2472267.4,2900.50115,100.70485,2127.9,3500.677,289.28134,237.97244
Sea and coastal water transport,1751012.5,5497.16333,85.54396,2390.397,1931.336,169.6596,126.8361
Inland water transport,1668835.4,6577.20914,59.7474,5731.198,30589.901,660.4399,633.9231
Air transport (62),3141914.7,1734.97435,65.28139,1279.804,3691.7142,111.16319,106.75937
Supporting and auxiliary transport activities; activities of travel agencies (63),519178.8,1762.63665,58.14288,1390.188,2551.1723,214.89935,179.34378
