,year,quarter,alc,all,cerealandbake,dairy,fatsandoils,foodathome,foodaway,food,fruitsandveg,meatpoultryfisheggs,otherfood,sugarandsweets
0,1967,1,45.86666666666667,32.96666666666667,34.06666666666666,39.76666666666666,37.43333333333333,35.0,30.7,33.83333333333333,32.666666666666664,37.96666666666666,29.266666666666666,26.233333333333334
1,1967,2,46.1,33.166666666666664,34.03333333333333,39.73333333333334,36.96666666666667,34.800000000000004,31.0,33.76666666666667,32.36666666666667,37.666666666666664,29.2,26.433333333333334
2,1967,3,46.53333333333334,33.5,33.96666666666667,40.03333333333334,36.76666666666667,35.266666666666666,31.400000000000002,34.36666666666667,33.833333333333336,38.166666666666664,29.3,26.633333333333336
3,1967,4,47.0,33.86666666666667,33.96666666666667,40.43333333333333,36.86666666666667,35.46666666666667,31.8,34.26666666666667,34.333333333333336,38.16666666666667,29.399999999999995,26.8
4,1968,1,47.46666666666667,34.2,33.93333333333334,40.63333333333333,36.86666666666667,35.76666666666667,32.166666666666664,34.73333333333334,35.56666666666667,38.23333333333333,29.5,26.833333333333332
5,1968,2,47.800000000000004,34.53333333333334,34.03333333333333,41.1,36.733333333333334,36.06666666666666,32.56666666666667,35.1,35.86666666666667,38.800000000000004,29.633333333333336,27.03333333333333
6,1968,3,48.13333333333333,35.0,34.333333333333336,41.6,36.6,36.333333333333336,33.1,35.56666666666666,35.733333333333334,39.199999999999996,29.866666666666664,27.7
7,1968,4,48.6,35.43333333333333,34.46666666666667,41.96666666666667,36.53333333333333,36.9,33.6,35.76666666666667,36.53333333333334,40.0,30.099999999999998,28.133333333333336
8,1969,1,48.76666666666667,35.86666666666667,34.7,42.1,36.733333333333334,37.03333333333333,33.93333333333333,36.13333333333333,35.96666666666667,40.36666666666667,30.3,28.5
9,1969,2,49.333333333333336,36.43333333333333,34.96666666666667,42.333333333333336,36.833333333333336,37.6,34.46666666666666,36.699999999999996,35.86666666666667,41.86666666666667,30.53333333333333,28.866666666666664
10,1969,3,49.93333333333334,36.93333333333333,35.233333333333334,42.800000000000004,36.8,38.4,35.166666666666664,37.63333333333333,36.26666666666667,43.6,30.7,29.066666666666666
11,1969,4,50.699999999999996,37.5,35.666666666666664,43.366666666666674,37.0,39.13333333333333,35.93333333333333,37.96666666666667,37.46666666666667,44.53333333333333,31.133333333333336,29.333333333333332
12,1970,1,51.300000000000004,38.1,36.300000000000004,44.199999999999996,37.5,39.766666666666666,36.53333333333333,38.833333333333336,37.63333333333333,45.300000000000004,31.833333333333332,29.766666666666666
13,1970,2,51.9,38.63333333333333,36.766666666666666,44.5,38.9,39.9,37.26666666666667,39.2,37.86666666666667,44.73333333333333,32.63333333333333,30.433333333333337
14,1970,3,52.26666666666667,39.03333333333334,37.300000000000004,44.86666666666667,39.7,39.96666666666667,37.833333333333336,39.46666666666667,37.6,44.366666666666674,33.23333333333334,30.8
15,1970,4,52.86666666666667,39.6,37.9,45.333333333333336,40.5,40.13333333333333,38.26666666666667,39.3,37.93333333333333,43.866666666666674,33.7,31.099999999999998
16,1971,1,53.53333333333334,39.93333333333333,38.4,45.63333333333333,41.63333333333333,40.06666666666667,38.7,39.6,37.699999999999996,43.26666666666667,34.0,31.266666666666666
17,1971,2,54.03333333333334,40.300000000000004,38.833333333333336,46.03333333333333,42.53333333333333,40.9,39.166666666666664,40.333333333333336,39.63333333333333,44.166666666666664,34.233333333333334,31.599999999999998
18,1971,3,54.4,40.7,39.03333333333333,46.4,43.06666666666667,41.1,39.699999999999996,40.76666666666666,40.1,44.23333333333333,34.46666666666667,31.866666666666664
19,1971,4,54.76666666666667,41.0,38.8,46.4,43.56666666666666,41.46666666666667,40.06666666666666,40.699999999999996,41.13333333333333,44.93333333333334,34.43333333333334,31.866666666666664
20,1972,1,55.03333333333334,41.333333333333336,38.9,46.76666666666667,43.6,42.1,40.300000000000004,41.43333333333333,40.9,46.6,34.5,32.0
21,1972,2,55.333333333333336,41.6,39.06666666666667,46.9,43.36666666666667,42.300000000000004,40.76666666666667,41.76666666666667,40.36666666666667,47.36666666666667,34.53333333333333,32.13333333333333
22,1972,3,55.6,41.93333333333333,38.93333333333333,46.70000000000001,42.86666666666667,42.800000000000004,41.199999999999996,42.43333333333333,41.93333333333334,48.36666666666667,34.5,31.96666666666667
23,1972,4,55.800000000000004,42.36666666666667,39.199999999999996,47.06666666666666,42.79999999999999,43.666666666666664,41.666666666666664,42.73333333333334,43.56666666666666,49.70000000000001,34.766666666666666,32.13333333333333
24,1973,1,56.166666666666664,43.03333333333333,40.06666666666667,48.199999999999996,42.800000000000004,45.800000000000004,42.13333333333333,44.76666666666667,44.699999999999996,54.4,35.166666666666664,32.6
25,1973,2,56.53333333333334,43.93333333333334,41.46666666666667,49.199999999999996,44.300000000000004,48.46666666666667,43.29999999999999,47.03333333333333,47.26666666666667,59.53333333333333,36.06666666666667,33.5
